,itemid,itemUrl,title,itemDetail,price,goodRate,commentCount
0,5535583,https://item.jd.com/5535583.html,360行车记录仪G300迷你隐藏高清夜视无线测速电子狗一体黑灰色,商品名称：360G300;商品编号：5535583;商品毛重：290.00g;商品产地：中国大陆;操作方式：按键;屏幕尺寸：2.0英寸;拍摄角度：120°-149°;功能：夜视加强，停车监控，电子狗，WIFI，GPS;分辨率：1080p;安装方式：通用单镜头,329.00,0.98,15万+
1,8035395,https://item.jd.com/8035395.html,360行车记录仪G300P远程监控行车轨迹迷你隐藏高清夜视无线测速电子狗一体含16G存储卡,商品名称：360G300P;商品编号：8035395;商品毛重：260.00g;商品产地：中国大陆;操作方式：APP操作;屏幕尺寸：2.0英寸;拍摄角度：120°-149°;功能：夜视加强，停车监控，电子狗，WIFI，GPS;分辨率：1080p;安装方式：通用单镜头,449.00,0.99,11万+
2,7131530,https://item.jd.com/7131530.html,360行车记录仪G300迷你隐藏高清夜视无线测速电子狗一体+32g卡组套产品,商品名称：360G300;商品编号：7131530;商品毛重：290.00g;商品产地：中国大陆;拍摄角度：120°-149°;操作方式：按键;屏幕尺寸：2.0英寸;分辨率：1080p;功能：夜视加强，停车监控，电子狗，WIFI，GPS;款式：迷你隐藏;安装方式：通用单镜头,379.00,0.98,15万+
3,7176918,https://item.jd.com/7176918.html,360行车记录仪G300迷你隐藏高清夜视无线测速电子狗一体+16g卡组套产品,商品名称：360G300;商品编号：7176918;商品毛重：290.00g;商品产地：中国大陆;拍摄角度：120°-149°;操作方式：按键;屏幕尺寸：2.0英寸;分辨率：1080p;功能：夜视加强，停车监控，电子狗，WIFI，GPS;款式：迷你隐藏;安装方式：通用单镜头,359.00,0.98,15万+
4,7897905,https://item.jd.com/7897905.html,小米（MI）小米米家后视镜行车记录仪,商品名称：小米小米米家后视镜行车记录仪;商品编号：7897905;商品毛重：0.57kg;商品产地：中国大陆;操作方式：触屏;屏幕尺寸：5英寸;拍摄角度：90°-119°;分辨率：1080p;安装方式：通用单镜头,389.00,0.99,3300+
5,8246803,https://item.jd.com/8246803.html,小米（MI）小米米家后视镜行车记录仪+16g卡组套产品,商品名称：小米小米米家后视镜行车记录仪;商品编号：8246803;商品毛重：0.57kg;商品产地：中国大陆;操作方式：触屏;屏幕尺寸：5英寸;拍摄角度：90°-119°;分辨率：1080p;安装方式：通用单镜头,419.00,0.99,3300+
6,8033080,https://item.jd.com/8033080.html,小米（MI）小米米家后视镜行车记录仪+32g卡组套产品,商品名称：小米小米米家后视镜行车记录仪;商品编号：8033080;商品毛重：0.57kg;商品产地：中国大陆;操作方式：触屏;屏幕尺寸：5英寸;拍摄角度：90°-119°;分辨率：1080p;安装方式：通用单镜头,439.00,0.99,3300+
7,8035688,https://item.jd.com/8035688.html,小米（MI）小米米家后视镜行车记录仪+后拉摄像头+16G存储卡组套产品,商品名称：小米小米米家后视镜行车记录仪;商品编号：8035688;商品毛重：0.57kg;商品产地：中国大陆;操作方式：触屏;屏幕尺寸：5英寸;拍摄角度：90°-119°;分辨率：1080p;安装方式：通用单镜头,509.00,0.99,3300+
8,8035166,https://item.jd.com/8035166.html,小米（MI）小米米家后视镜行车记录仪+后拉摄像头+32g卡组套产品,商品名称：小米小米米家后视镜行车记录仪;商品编号：8035166;商品毛重：0.57kg;商品产地：中国大陆;操作方式：触屏;屏幕尺寸：5英寸;拍摄角度：90°-119°;分辨率：1080p;安装方式：通用单镜头,529.00,0.99,3300+
9,3527967,https://item.jd.com/3527967.html,360行车记录仪尊享升级版J501C安霸A12高清夜视WIFI连接智能管理机卡套装黑色,商品名称：360J501C;商品编号：3527967;商品毛重：275.00g;商品产地：中国大陆;拍摄角度：120°-149°;操作方式：按键;屏幕尺寸：2.0英寸;分辨率：1080p;功能：夜视加强，停车监控，WIFI;款式：卡片机;安装方式：通用单镜头,299.00,0.98,17万+
10,3527891,https://item.jd.com/3527891.html,360行车记录仪标准升级版J501C安霸A12高清夜视WIFI连接智能管理黑色,商品名称：360J501C;商品编号：3527891;商品毛重：290.00g;商品产地：中国大陆;拍摄角度：120°-149°;操作方式：按键;屏幕尺寸：2.0英寸;分辨率：1080p;功能：夜视加强，停车监控，WIFI;款式：卡片机;安装方式：通用单镜头,299.00,0.98,17万+
